Field Mnemonic,Data License Category,Comdty,Equity,Muni,Pfd,M-Mkt,Govt,Corp,Index,Curncy,Mtge,Field Type,Width
30_YEAR_KEY_RATE_SOVEREIGN_CURVE,Derived Data, , , , , , , ,Index, , ,Real,4
30_YEAR_KEY_RATE_SWAP_CURVE,Derived Data, , , , , , , ,Index, , ,Real,12
3C7_INDICATOR,Security Master, , , ,Pfd, ,Govt,Corp, , ,Mtge,Boolean,10
3M_ANNUALIZED_GROWTH_RATE_NSA,End of Day Pricing, , , , , , , ,Index, , ,Price,20
3M_ANNUALIZED_GROWTH_RATE_SA,End of Day Pricing, , , , , , , ,Index, , ,Price,20
3M_ASK_SPRD_TO_BNCH_ABSOLUTE_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,4
3M_ASK_SPRD_TO_BNCH_PCT_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,4
3M_BID_SPRD_TO_BNCH_ABSOLUTE_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,20
3M_BID_SPRD_TO_BNCH_PCT_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,10
3MO_FWD_SHIPPING_RT,End of Day Pricing, , , , , , , ,Index, , ,Price,20
3MO_FWD_SHIPPING_RT_DT,End of Day Pricing, , , , , , , ,Index, , ,Date,4
3QTR_FWD_SHIPPING_RT,End of Day Pricing, , , , , , , ,Index, , ,Price,9
3QTR_FWD_SHIPPING_RT_DT,End of Day Pricing, , , , , , , ,Index, , ,Date,9
3RD_HI_ALL_OTH_COMP_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,9
3RD_HI_NON_EQ_INCNTV_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,4
3RD_HI_NON_EQTY_INCENTIVE_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,4
3RD_HI_PEN_N_QUA_DEF_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,4
3RD_HI_PENS_NON_QUA_DEF_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,11
3RD_HIGHEST_ALL_OTH_COMP_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,17
3RD_HIGHEST_BONUS_AMOUNT_PAID,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,6
3RD_HIGHEST_BONUS_PAID_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,21
3RD_HIGHEST_OPT_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,8
3RD_HIGHEST_OPTION_AWARDS_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
3RD_HIGHEST_OTH_COMP_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,30
3RD_HIGHEST_OTHER_COMP_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,30
3RD_HIGHEST_SALARY_AMOUNT_PAID,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,15
3RD_HIGHEST_SALARY_PAID_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,4
3RD_HIGHEST_STK_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,4
3RD_HIGHEST_STK_AWARDS_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,4
3RD_HIGHEST_TOT_COMP_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,4
3RD_HIGHEST_TOT_COMP_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,4
3RD_PARTY_WASTE_COMPOSTED,Security Master, ,Equity, , , , ,Corp, , , ,Real,5
3RD_PARTY_WASTE_INCINERATED,Security Master, ,Equity, , , , ,Corp, , , ,Real,5
3RD_PARTY_WASTE_MANAGED,Security Master, ,Equity, , , , ,Corp, , , ,Real,10
3RD_PARTY_WASTE_RECYCLED,Security Master, ,Equity, , , , ,Corp, , , ,Real,0
3RD_PTY_CERTIFIED_FORESTLAND,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
3WK_FWD_SHIPPING_RT,End of Day Pricing, , , , , , , ,Index, , ,Price,0
3WK_FWD_SHIPPING_RT_DT,End of Day Pricing, , , , , , , ,Index, , ,Date,10
3Y_ASK_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,10
3Y_ASK_LOAN_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,50
3Y_BID_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,33
3Y_BID_LOAN_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,33
3Y_MID_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,34
3Y_MID_LOAN_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,0
3YR_AVG_NET_MARGIN,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
3YR_AVG_RETURN_ON_ASSETS,Derived Data, ,Equity, ,Pfd, , ,Corp, , , ,Real,10
3YR_AVG_RETURN_ON_CAPITAL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,200
3YR_AVG_RETURN_ON_EQUITY,Derived Data, ,Equity, ,Pfd, , ,Corp, , , ,Real,450
405_CRR_ELIGIBLE_ORIG,Security Master, , , , , , , , , ,Mtge,Boolean,200
405_CRR_RETENTION_METHOD,Security Master, , , , , , , , , ,Mtge,Character,450
45_DAY_HIGH,End of Day Pricing, ,Equity, , , , , , , , ,Price,200
45_DAY_LOW,End of Day Pricing, ,Equity, , , , , , , , ,Price,200
4MO_FWD_SHIPPING_RT,End of Day Pricing, , , , , , , ,Index, , ,Price,10
4MO_FWD_SHIPPING_RT_DT,End of Day Pricing, , , , , , , ,Index, , ,Date,10
4QTR_FWD_SHIPPING_RT,End of Day Pricing, , , , , , , ,Index, , ,Price,16
4QTR_FWD_SHIPPING_RT_DT,End of Day Pricing, , , , , , , ,Index, , ,Date,16
4TH_HI_ALL_OTH_COMP_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,16
4TH_HI_NON_EQ_INCNTV_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,16
4TH_HI_NON_EQTY_INCENTIVE_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,16
4TH_HI_PEN_N_QUA_DEF_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,10
4TH_HI_PENS_NON_QUAL_DEF_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
4TH_HIGHEST_ALL_OTH_COMP_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,8
4TH_HIGHEST_BONUS_AMOUNT_PAID,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,16
4TH_HIGHEST_BONUS_PAID_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,16
4TH_HIGHEST_OPT_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,16
4TH_HIGHEST_OPTION_AWARDS_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,30
4TH_HIGHEST_OTH_COMP_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,30
4TH_HIGHEST_OTHER_COMP_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,30
4TH_HIGHEST_SALARY_AMOUNT_PAID,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,16
4TH_HIGHEST_SALARY_PAID_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,16
4TH_HIGHEST_STK_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,200
4TH_HIGHEST_STK_AWARDS_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,450
4TH_HIGHEST_TOT_COMP_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,4
4TH_HIGHEST_TOT_COMP_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,4
4WK_FWD_SHIPPING_RT,End of Day Pricing, , , , , , , ,Index, , ,Price,30
4WK_FWD_SHIPPING_RT_DT,End of Day Pricing, , , , , , , ,Index, , ,Date,4
4Y_ASK_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,20
4Y_ASK_LOAN_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,136
4Y_BID_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,20
4Y_BID_LOAN_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,10
4Y_MID_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,0
4Y_MID_LOAN_CDS_SPREAD,Derived Data, ,Equity, ,Pfd, ,Govt,Corp,Index,Curncy, ,Real,4
